"id","name","country_id"
"tax_group_vat_21","DPH 21%","base.cz"
"tax_group_vat_15","DPH 15%","base.cz"
"tax_group_vat_10","DPH 10%","base.cz"
"tax_group_vat_0","DPH 0%","base.cz"
