id,l10n_br_zip_ranges
l10n_br.city_br_132,[25900-001 25939-999]
l10n_br.city_br_133,[93300-001 93599-999]
l10n_br.city_br_134,[35150-001 35169-999]
l10n_br.city_br_135,[35700-001 35719-999]
l10n_br.city_br_136,[75900-001 75914-999]
l10n_br.city_br_137,[72910-001 72929-999]
l10n_br.city_br_138,[19000-001 19159-999]
l10n_br.city_br_139,[24800-001 24889-999]
l10n_br.city_br_140,[94400-001 94799-999]
l10n_br.city_br_141,[88130-001 88139-999]
l10n_br.city_br_142,[28900-001 28929-999]
l10n_br.city_br_143,[45865-000 45869-999]
l10n_br.city_br_144,[93000-001 93179-999]
l10n_br.city_br_145,[88800-001 88819-999]
l10n_br.city_br_146,[72800-001 72859-999]
l10n_br.city_br_147,[99000-001 99139-999]
l10n_br.city_br_148,[42700-001 42799-999]
l10n_br.city_br_149,[54500-001 54599-999]
l10n_br.city_br_150,[62000-001 62114-999]
l10n_br.city_br_151,[27460-000 27499-999]
l10n_br.city_br_152,[16000-001 16129-999]
l10n_br.city_br_153,[72870-001 72879-999]
l10n_br.city_br_154,[24900-001 24999-999]
l10n_br.city_br_155,[78550-001 78559-999]
l10n_br.city_br_156,[49150-000 49169-999]
l10n_br.city_br_157,[68740-001 68747-999]
l10n_br.city_br_158,[96200-001 96224-999]
l10n_br.city_br_159,[28600-001 28636-999]
l10n_br.city_br_160,[94800-001 94899-999]
l10n_br.city_br_161,[45600-001 45614-999]
l10n_br.city_br_162,[29300-001 29329-999]
l10n_br.city_br_163,[13450-001 13464-999]
l10n_br.city_br_164,[89250-001 89269-999]
l10n_br.city_br_165,[85000-001 85139-999]
l10n_br.city_br_166,[08500-001 08549-999]
l10n_br.city_br_167,[45650-001 45674-999]
l10n_br.city_br_168,[12900-001 12929-999]
l10n_br.city_br_169,[65630-001 65639-999]
l10n_br.city_br_170,[77800-001 77839-999]
l10n_br.city_br_171,[32400-001 32449-999]
l10n_br.city_br_172,[27300-001 27399-999]
l10n_br.city_br_173,[13300-001 13314-999]
l10n_br.city_br_174,[45810-000 45819-999]
l10n_br.city_br_175,[23900-001 23969-999]
l10n_br.city_br_176,[35116-000 35116-999]
l10n_br.city_br_177,[29900-001 29919-999]
l10n_br.city_br_178,[09500-001 09599-999]
l10n_br.city_br_179,[12400-001 12449-999]
l10n_br.city_br_180,[07900-001 07999-999]
l10n_br.city_br_181,[25950-001 25999-999]
l10n_br.city_br_182,[88500-001 88534-999]
l10n_br.city_br_183,[37700-001 37719-999]
l10n_br.city_br_184,[64200-001 64219-999]
l10n_br.city_br_185,[47800-001 47819-999]
l10n_br.city_br_186,[38700-001 38719-999]
l10n_br.city_br_187,[45200-001 45214-999]
l10n_br.city_br_188,[12940-001 12954-999]
l10n_br.city_br_189,[06850-001 06889-999]
l10n_br.city_br_190,[68440-000 68444-999]
l10n_br.city_br_191,[18200-001 18219-999]
l10n_br.city_br_192,[65600-001 65609-999]
l10n_br.city_br_193,[28890-001 28899-999]
l10n_br.city_br_194,[75250-001 75264-999]
l10n_br.city_br_195,[06500-001 06549-999]
l10n_br.city_br_196,[13840-001 13856-999]
l10n_br.city_br_197,[37550-001 37562-999]
l10n_br.city_br_198,[83700-001 83729-999]
l10n_br.city_br_199,[48000-001 48107-999]
l10n_br.city_br_200,[37630-000 37639-999]
l10n_br.city_br_201,[65145-000 65147-999]
l10n_br.city_br_202,[83820-001 83839-999]
l10n_br.city_br_203,[54750-001 54799-999]
l10n_br.city_br_204,[26500-001 26549-999]
l10n_br.city_br_205,[83200-001 83254-999]
l10n_br.city_br_206,[65130-000 65137-999]
l10n_br.city_br_207,[45985-001 45999-999]
l10n_br.city_br_208,[18600-001 18619-999]
l10n_br.city_br_209,[07800-001 07899-999]
l10n_br.city_br_210,[55290-001 55304-999]
l10n_br.city_br_211,[75380-001 75394-999]
l10n_br.city_br_212,[88350-001 88359-999]
l10n_br.city_br_213,[26300-001 26399-999]
l10n_br.city_br_214,[88330-001 88339-999]
l10n_br.city_br_215,[39800-001 39809-999]
l10n_br.city_br_216,[37000-001 37109-999]
l10n_br.city_br_217,[83600-001 83649-999]
l10n_br.city_br_218,[55380-000 55384-999]
l10n_br.city_br_219,[11660-001 11679-999]
l10n_br.city_br_220,[13320-001 13329-999]
l10n_br.city_br_221,[68400-000 68414-999]
l10n_br.city_br_222,[55600-001 55619-999]
l10n_br.city_br_223,[17200-001 17229-999]
l10n_br.city_br_224,[96800-001 96874-999]
l10n_br.city_br_225,[79600-001 79669-999]
l10n_br.city_br_226,[93200-001 93249-999]
l10n_br.city_br_227,[36400-000 36414-999]
l10n_br.city_br_228,[62500-000 62529-999]
l10n_br.city_br_229,[63100-001 63139-999]
