"id","name","country_id","name@fr","name@nl"
"tax_group_tva_21","VAT 21%","base.be","TVA 21%","BTW 21%"
"tax_group_tva_12","VAT 12%","base.be","TVA 12%","BTW 12%"
"tax_group_tva_6","VAT 6%","base.be","TVA 6%","BTW 6%"
"tax_group_tva_0","VAT 0%","base.be","TVA 0%","BTW 0%"
