"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"242","Remuneraciones por Pagar / Cargas Sociales a Pagar","242","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"243","Remuneraciones por Pagar / Provisión para Sueldo Anual Complementario","243","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"244","Remuneraciones por Pagar / Retenciones a Depositar","244","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"251","Otras Cuentas por Pagar / Acreedores Varios","251","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"252","Otras Cuentas por Pagar / Dividendos a Pagar","252","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"253","Otras Cuentas por Pagar / Cobros por Adelantado","253","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"254","Otras Cuentas por Pagar / Honorarios Directores y Síndicos a Pagar","254","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"261","Provisiones / Previsión Indemnización por Despidos","261","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"262","Provisiones / Previsión para juicios Pendientes","262","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"263","Provisiones / Previsión para Garantías por Service","263","account.data_account_type_current_liabilities","l10n_cl.cl_chart_template"
"311","Capital / Capital Propio","311","account.data_account_type_equity","l10n_cl.cl_chart_template"
"312","Capital / Acciones en Circulación","312","account.data_account_type_equity","l10n_cl.cl_chart_template"
"313","Capital / Dividendos a Distribuir en Acciones","313","account.data_account_type_equity","l10n_cl.cl_chart_template"
"314","Capital / (-) Descuento de Emisión de Acciones","314","account.data_account_type_equity","l10n_cl.cl_chart_template"
"321","Aportes No Capitalizados / Primas de Emsión","321","account.data_account_type_equity","l10n_cl.cl_chart_template"
"322","Aportes No Capitalizados / Aportes Irrevocables Futura Suscripción de Acciones","322","account.data_account_type_equity","l10n_cl.cl_chart_template"
"331","Ajustes al Patrimonio / Revaluo Técnico de Activo Fijo","331","account.data_account_type_equity","l10n_cl.cl_chart_template"
"341","Reserva Legal","341","account.data_account_type_equity","l10n_cl.cl_chart_template"
"342","Reserva Estatutaria","342","account.data_account_type_equity","l10n_cl.cl_chart_template"
"343","Reserva Facultativa","343","account.data_account_type_equity","l10n_cl.cl_chart_template"
"344","Reserva para Renovación de Activo Fijo","344","account.data_account_type_equity","l10n_cl.cl_chart_template"
"351","Resultados Acumulados","351","account.data_account_type_equity","l10n_cl.cl_chart_template"
"352","Resultados Acumulados del Ejercicio Anterior","352","account.data_account_type_equity","l10n_cl.cl_chart_template"
"353","Utilidades y Pérdidas del Ejercicio","353","account.data_account_type_equity","l10n_cl.cl_chart_template"
"354","Resultado del Ejercicio","354","account.data_account_type_equity","l10n_cl.cl_chart_template"
"411_01","Ventas - Categoria de productos 01","411.01","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"412","Intereses gananados, obtenidos, percibidos","412","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"413","Alquileres gananados, obtenidos, percibidos","413","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"414","Comisiones gananados, obtenidos, percibidos","414","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"415","Descuentos gananados, obtenidos, percibidos","415","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"416","Interese sobre Inversiones","416","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"417","Honorarios gananados, obtenidos, percibidos","417","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"418","Ganancia Venta de Acciones","418","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"421","Recupero de Rezagos","421","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"422","Recupero de Deudores Incobrables","422","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"423","Ganancia Venta de Activo Fijo","423","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"424","Donaciones obtenidas, ganandas, percibidas","424","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"425","Ganancia Venta Inversiones Permanentes","425","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"426","Diferencial cambiario","426","account.data_account_type_revenue","l10n_cl.cl_chart_template"
"511_01","Costo de Mercaderías Vendidas - Categoria de productos 01","511.01","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"512","Gastos en Depreciación de Activo Fijo","512","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"513","Gastos en Amortización","513","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"514","Gastos en Sueldos y Jornales","514","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"515","Gastos en Cargas Sociales","515","account.data_account_type_expenses","l10n_cl.cl_chart_template"
"516","Gastos en Impuestos","516","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
"517","Gastos Bancarios","517","l10n_cl.account_account_type_NCLASIFICADO","l10n_cl.cl_chart_template"
