id,code_prefix_start,code_prefix_end,name,chart_template_id/id
pcg_group_198,198,,"Autres provisions pour risques et charges",l10n_syscohada.syscohada_chart_template
pcg_group_2,2,,"Comptes d'actif immobilisé",l10n_syscohada.syscohada_chart_template
pcg_group_21,21,,"Immobilisation incorporelles",l10n_syscohada.syscohada_chart_template
pcg_group_211,211,,"Frais de développement",l10n_syscohada.syscohada_chart_template
pcg_group_212,212,,"Brevets, licenses, concessions, et droits similaires",l10n_syscohada.syscohada_chart_template
pcg_group_213,213,,"Logiciels et sites internet",l10n_syscohada.syscohada_chart_template
pcg_group_214,214,,"Marques",l10n_syscohada.syscohada_chart_template
pcg_group_215,215,,"Fonds commercial",l10n_syscohada.syscohada_chart_template
pcg_group_216,216,,"Droit au bail",l10n_syscohada.syscohada_chart_template
pcg_group_217,217,,"Investissements de création",l10n_syscohada.syscohada_chart_template
pcg_group_218,218,,"Autres droits et valeurs incorporels",l10n_syscohada.syscohada_chart_template
pcg_group_219,219,,"Immobilisations incorporelles en cours",l10n_syscohada.syscohada_chart_template
pcg_group_22,22,,"Terrains",l10n_syscohada.syscohada_chart_template
pcg_group_221,221,,"Terrains agricoles et forestiers",l10n_syscohada.syscohada_chart_template
pcg_group_222,222,,"Terrains nus",l10n_syscohada.syscohada_chart_template
pcg_group_223,223,,"Terrains bâtis",l10n_syscohada.syscohada_chart_template
pcg_group_224,224,,"Travaux de mise en valeur des terrains",l10n_syscohada.syscohada_chart_template
pcg_group_225,225,,"Terrains de carrières-tréfonds",l10n_syscohada.syscohada_chart_template
pcg_group_226,226,,"Terrains aménagés",l10n_syscohada.syscohada_chart_template
pcg_group_227,227,,"Terrains mis en concession",l10n_syscohada.syscohada_chart_template
pcg_group_228,228,,"Autres terrains",l10n_syscohada.syscohada_chart_template
pcg_group_229,229,,"Aménagements de terrains en cours",l10n_syscohada.syscohada_chart_template
pcg_group_23,23,,"Bâtiments, installations techniques et agencements",l10n_syscohada.syscohada_chart_template
pcg_group_231,231,,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre",l10n_syscohada.syscohada_chart_template
pcg_group_232,232,,"Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d'autrui",l10n_syscohada.syscohada_chart_template
pcg_group_233,233,,"Ouvrages d'infrastructure",l10n_syscohada.syscohada_chart_template
pcg_group_234,234,,"Aménagements, agencements et installations techniques",l10n_syscohada.syscohada_chart_template
pcg_group_235,235,,"Aménagments de bureaux",l10n_syscohada.syscohada_chart_template
pcg_group_237,237,,"Bâtiments industriels, agricoles et commerciaux mis en concession",l10n_syscohada.syscohada_chart_template
pcg_group_238,238,,"Autres installations et agencements",l10n_syscohada.syscohada_chart_template
pcg_group_239,239,,"Bâtiments, aménagements, agencements et installations en cours",l10n_syscohada.syscohada_chart_template
pcg_group_24,24,,"Matériel, mobilier et actifs biologiques",l10n_syscohada.syscohada_chart_template
pcg_group_241,241,,"Matériel et outillage industriel et commercial",l10n_syscohada.syscohada_chart_template
pcg_group_242,242,,"Matériel et outillage agricole",l10n_syscohada.syscohada_chart_template
pcg_group_243,243,,"Matériel d'emballage récupérable et identifiable",l10n_syscohada.syscohada_chart_template
pcg_group_244,244,,"Matériel et mobilier",l10n_syscohada.syscohada_chart_template
pcg_group_245,245,,"Matériel de transport",l10n_syscohada.syscohada_chart_template
pcg_group_246,246,,"Actifs biologiques",l10n_syscohada.syscohada_chart_template
pcg_group_247,247,,"Agencements, aménagements du matériel et actifs biologiques",l10n_syscohada.syscohada_chart_template
pcg_group_248,248,,"Autres matériels et mobiliers",l10n_syscohada.syscohada_chart_template
pcg_group_249,249,,"Matériel et actifs biologiques en cours",l10n_syscohada.syscohada_chart_template
pcg_group_25,25,,"Avances et acomptes versés sur immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_251,251,,"Avances et acomptes versés sur immobilisations incorporelles",l10n_syscohada.syscohada_chart_template
pcg_group_252,252,,"Avances et acomptes versés sur immobilisations corporelles",l10n_syscohada.syscohada_chart_template
pcg_group_26,26,,"Titres de participation",l10n_syscohada.syscohada_chart_template
pcg_group_261,261,,"Titres de participation dans des entités sous contrôle exclusif",l10n_syscohada.syscohada_chart_template
pcg_group_262,262,,"Titres de participation dans des entités sous contrôle conjoint",l10n_syscohada.syscohada_chart_template
pcg_group_263,263,,"Titres de participation dans des entités sous influence notable",l10n_syscohada.syscohada_chart_template
pcg_group_265,265,,"Participations dans des organismes professionnels",l10n_syscohada.syscohada_chart_template
pcg_group_266,266,,"Parts dans des groupements d'intérêt économique",l10n_syscohada.syscohada_chart_template
pcg_group_268,268,,"Autres titres de participation",l10n_syscohada.syscohada_chart_template
pcg_group_27,27,,"Autres immobilisation financières",l10n_syscohada.syscohada_chart_template
pcg_group_271,271,,"Prêts et créances",l10n_syscohada.syscohada_chart_template
pcg_group_272,272,,"Prêts au personnel",l10n_syscohada.syscohada_chart_template
pcg_group_273,273,,"Créances sur l'Etat",l10n_syscohada.syscohada_chart_template
pcg_group_274,274,,"Titres immobilisés",l10n_syscohada.syscohada_chart_template
pcg_group_275,275,,"Dépôts et cautionnements versés",l10n_syscohada.syscohada_chart_template
pcg_group_276,276,,"Intérêts courus",l10n_syscohada.syscohada_chart_template
pcg_group_277,277,,"Créances rattachées à des participations et avances à des G.I.E.",l10n_syscohada.syscohada_chart_template
pcg_group_278,278,,"Immobilisations financières diverses",l10n_syscohada.syscohada_chart_template
pcg_group_28,28,,"Amortissements",l10n_syscohada.syscohada_chart_template
pcg_group_281,281,,"Amortissements des immobilisations incorporelles",l10n_syscohada.syscohada_chart_template
pcg_group_282,282,,"Amortissements des terrains",l10n_syscohada.syscohada_chart_template
pcg_group_283,283,,"Amortissements des bâtimeents, installations techniques et agencements",l10n_syscohada.syscohada_chart_template
pcg_group_284,284,,"Amortissements du matériel",l10n_syscohada.syscohada_chart_template
pcg_group_29,29,,"Dépréciations des immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_291,291,,"Dépréciations des immobilisations incorporelles",l10n_syscohada.syscohada_chart_template
pcg_group_292,292,,"Dépréciations des terrains",l10n_syscohada.syscohada_chart_template
pcg_group_293,293,,"Dépréciations des bâtiments, installations techniques et agencements",l10n_syscohada.syscohada_chart_template
pcg_group_294,294,,"Dépréciations du matériel, du mobilier et de l'actif biologique",l10n_syscohada.syscohada_chart_template
pcg_group_295,295,,"Dépréciations des avances et acomptes versés sur immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_296,296,,"Dépréciations des titres de participation",l10n_syscohada.syscohada_chart_template
pcg_group_297,297,,"Dépréciations des autres immobilisations financières",l10n_syscohada.syscohada_chart_template
pcg_group_3,3,,"Comptes de stocks",l10n_syscohada.syscohada_chart_template
pcg_group_31,31,,"Marchandises",l10n_syscohada.syscohada_chart_template
pcg_group_311,311,,"Marchandises A",l10n_syscohada.syscohada_chart_template
pcg_group_312,312,,"Marchandises B",l10n_syscohada.syscohada_chart_template
pcg_group_313,313,,"Actifs biologiques",l10n_syscohada.syscohada_chart_template
