id,chart_template_id/id,code,account_type,name,reconcile
l10n_ar.ri_retencion_iibb_er_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.130,liability_current,Retention IIBB Entre Río applied,False
l10n_ar.ri_percepcion_iibb_er_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.140,liability_current,Perception IIBB Entre Río applied,False
l10n_ar.ri_retencion_iibb_ju_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.150,liability_current,Retention IIBB Jujuy applied,False
l10n_ar.ri_percepcion_iibb_ju_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.160,liability_current,Perception IIBB Jujuy applied,False
l10n_ar.ri_retencion_iibb_za_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.170,liability_current,Retention IIBB Mendoza applied,False
l10n_ar.ri_percepcion_iibb_za_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.180,liability_current,Perception IIBB Mendoza applied,False
l10n_ar.ri_retencion_iibb_lr_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.190,liability_current,Retention IIBB La Rioja applied,False
l10n_ar.ri_percepcion_iibb_lr_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.200,liability_current,Perception IIBB La Rioja applied,False
l10n_ar.ri_retencion_iibb_sa_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.210,liability_current,Retention IIBB Salta applied,False
l10n_ar.ri_percepcion_iibb_sa_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.220,liability_current,Perception IIBB Salta applied,False
l10n_ar.ri_retencion_iibb_nn_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.230,liability_current,Retention IIBB San Juan applied,False
l10n_ar.ri_percepcion_iibb_nn_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.240,liability_current,Perception IIBB San Juan applied,False
l10n_ar.ri_retencion_iibb_sl_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.250,liability_current,Retention IIBB San Luis applied,False
l10n_ar.ri_percepcion_iibb_sl_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.260,liability_current,Perception IIBB San Luis applied,False
l10n_ar.ri_retencion_iibb_sf_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.270,liability_current,Retention IIBB Santa Fe applied,False
l10n_ar.ri_percepcion_iibb_sf_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.280,liability_current,Perception IIBB Santa Fe applied,False
l10n_ar.ri_retencion_iibb_se_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.290,liability_current,Retention IIBB Santiago del Estero applied,False
l10n_ar.ri_percepcion_iibb_se_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.300,liability_current,Perception IIBB Santiago del Estero applied,False
l10n_ar.ri_retencion_iibb_tn_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.310,liability_current,Retention IIBB Tucumán applied,False
l10n_ar.ri_percepcion_iibb_tn_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.320,liability_current,Perception IIBB Tucumán applied,False
l10n_ar.ri_retencion_iibb_ha_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.330,liability_current,Retention IIBB Chaco applied,False
l10n_ar.ri_percepcion_iibb_ha_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.340,liability_current,Perception IIBB Chaco applied,False
l10n_ar.ri_retencion_iibb_ct_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.350,liability_current,Retention IIBB Chubut applied,False
l10n_ar.ri_percepcion_iibb_ct_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.360,liability_current,Perception IIBB Chubut applied,False
l10n_ar.ri_retencion_iibb_fo_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.370,liability_current,Retention IIBB Formosa applied,False
l10n_ar.ri_percepcion_iibb_fo_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.380,liability_current,Perception IIBB Formosa applied,False
l10n_ar.ri_retencion_iibb_mi_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.390,liability_current,Retention IIBB Misiones applied,False
l10n_ar.ri_percepcion_iibb_mi_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.400,liability_current,Perception IIBB Misiones applied,False
l10n_ar.ri_retencion_iibb_ne_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.410,liability_current,Retention IIBB Neuquén applied,False
l10n_ar.ri_percepcion_iibb_ne_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.420,liability_current,Perception IIBB Neuquén applied,False
l10n_ar.ri_retencion_iibb_lp_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.430,liability_current,Retention IIBB La Pampa applied,False
l10n_ar.ri_percepcion_iibb_lp_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.440,liability_current,Perception IIBB La Pampa applied,False
l10n_ar.ri_retencion_iibb_rn_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.450,liability_current,Retention IIBB Río Negro applied,False
l10n_ar.ri_percepcion_iibb_rn_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.460,liability_current,Perception IIBB Río Negro applied,False
l10n_ar.ri_retencion_iibb_az_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.470,liability_current,Retention IIBB Santa Cruz applied,False
l10n_ar.ri_percepcion_iibb_az_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.480,liability_current,Perception IIBB Santa Cruz applied,False
l10n_ar.ri_retencion_iibb_tf_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.490,liability_current,Retention IIBB Tierra del Fuego applied,False
l10n_ar.ri_percepcion_iibb_tf_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.500,liability_current,Perception IIBB Tierra del Fuego applied,False
l10n_ar.ri_retencion_iibb_a_pagar,l10n_ar.l10nar_ex_chart_template,2.1.3.02.510,liability_payable,Retention/Perception IIBB payable,True
l10n_ar.base_plan_de_iibb_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.3.02.520,liability_payable,IIBB Plan payable,True
l10n_ar.ri_iva_debito_fiscal,l10n_ar.l10nar_ri_chart_template,2.1.3.03.010,liability_current,Tax debit VAT,False
l10n_ar.ri_iva_saldo_a_pagar,l10n_ar.l10nar_ri_chart_template,2.1.3.03.020,liability_payable,VAT balance payable,True
l10n_ar.ri_retencion_iva_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.03.030,liability_current,Retention VAT applied,False
l10n_ar.ri_percepcion_iva_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.03.040,liability_current,Perception VAT applied,False
l10n_ar.base_plan_iva_a_pagar,l10n_ar.l10nar_ri_chart_template,2.1.3.03.050,liability_current,VAT Plan payable,False
l10n_ar.base_impuesto_ganancias_a_pagar,l10n_ar.l10nar_ex_chart_template,2.1.3.04.010,liability_payable,Income Tax payable,True
l10n_ar.ri_retencion_ganancias_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.04.020,liability_current,Retention of profits applied,False
l10n_ar.ri_percepcion_ganancias_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.04.030,liability_current,Perception Income Tax applied,False
l10n_ar.base_provision_imp_a_las_ganancias,l10n_ar.l10nar_ex_chart_template,2.1.3.04.040,liability_current,Provision for Income Tax,True
l10n_ar.base_anticipos_imp_a_las_ganancias_a_pagar,l10n_ar.l10nar_ex_chart_template,2.1.3.04.050,liability_current,Advance payment for taxes,True
l10n_ar.base_planes_a_pagar_afip,l10n_ar.l10nar_ex_chart_template,2.1.3.04.060,liability_non_current,Profit Plan payable,False
l10n_ar.base_sueldos_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.4.01.010,liability_payable,Salaries payable,True
l10n_ar.base_suss_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.4.01.020,liability_payable,Social Laws to Pay,True
l10n_ar.base_seguro_de_vida_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.4.01.030,liability_payable,Life insurance payable,True
l10n_ar.base_art_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.4.01.040,liability_payable,ART to Pay,True
l10n_ar.base_aportes_sindicales_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.4.01.050,liability_payable,Union to pay,True
l10n_ar.base_embargos_a_depositar,l10n_ar.l10nar_base_chart_template,2.1.4.01.060,liability_payable,Embargos to deposit,True
l10n_ar.base_cta_particular_socio_x,l10n_ar.l10nar_base_chart_template,2.1.5.01.010,liability_non_current,Private account partner x,False
l10n_ar.base_proveedores_largo_plazo,l10n_ar.l10nar_base_chart_template,2.2.1.01.010,liability_non_current,Long-term Debt Suppliers,False
l10n_ar.base_prevision_sac_a_pagar,l10n_ar.l10nar_base_chart_template,2.2.2.01.010,liability_current,SAC Preview to Pay,False
l10n_ar.base_prevision_para_despidos,l10n_ar.l10nar_base_chart_template,2.2.2.01.020,liability_current,Provision for,False
l10n_ar.base_prevision_gastos,l10n_ar.l10nar_base_chart_template,2.2.2.01.030,liability_current,Expenses estimate,False
l10n_ar.base_capital,l10n_ar.l10nar_base_chart_template,3.1.1.01.010,equity,Suscribed capital,False
l10n_ar.base_ajustes_de_capital,l10n_ar.l10nar_base_chart_template,3.1.1.01.020,equity,Adjustments of capital,False
l10n_ar.base_aportes_no_capitalizados,l10n_ar.l10nar_base_chart_template,3.1.1.01.030,equity,Non-capitalized contributions,False
l10n_ar.base_reserva_legal,l10n_ar.l10nar_base_chart_template,3.2.1.01.010,equity,Legal reserve,False
l10n_ar.base_reserva_estatuitaria,l10n_ar.l10nar_base_chart_template,3.2.1.01.020,equity,Statutory reserve,False
l10n_ar.base_futuras_inversiones,l10n_ar.l10nar_base_chart_template,3.2.1.01.030,equity,Future investment reserves,False
l10n_ar.base_reservas_facultativas,l10n_ar.l10nar_base_chart_template,3.2.1.01.040,equity,Optional reserves,False
l10n_ar.base_resultado_del_ejercicio,l10n_ar.l10nar_base_chart_template,3.3.1.01.010,equity_unaffected,Result of the year,False
l10n_ar.base_resultado_acumulados,l10n_ar.l10nar_base_chart_template,3.3.1.01.020,equity,Results of previous exercises,False
l10n_ar.base_ajuste_resultados,l10n_ar.l10nar_base_chart_template,3.3.1.01.030,equity,Adjustments of result of previous years,False
l10n_ar.base_venta_de_mercaderia,l10n_ar.l10nar_base_chart_template,4.1.1.01.010,income,Sale of Goods,False
l10n_ar.base_venta_de_servicios,l10n_ar.l10nar_base_chart_template,4.1.1.01.020,income,Sale of Services,False
l10n_ar.base_resultado_intereses_ganados,l10n_ar.l10nar_base_chart_template,4.2.1.01.010,income_other,Interests earned,False
l10n_ar.base_diferencias_de_cambio,l10n_ar.l10nar_base_chart_template,4.2.1.01.020,income_other,Change differences,False
l10n_ar.base_ajuste_por_redondeo,l10n_ar.l10nar_base_chart_template,4.2.1.01.030,income_other,Rounding adjustment,False
l10n_ar.base_resultado_venta_bienes_de_uso,l10n_ar.l10nar_base_chart_template,4.3.1.01.010,income_other,Result of Sales of Goods,False
l10n_ar.base_recupero_de_gastos,l10n_ar.l10nar_base_chart_template,4.3.1.01.020,income_other,Cost recovery,False
l10n_ar.base_aportes_no_reembolsables,l10n_ar.l10nar_base_chart_template,4.3.1.01.030,income_other,Non-refundable contributions (subsidies),False
l10n_ar.base_cmv,l10n_ar.l10nar_base_chart_template,5.1.1.01.010,expense,Cost of Goods sold,False
l10n_ar.base_descuentos_obtenidos,l10n_ar.l10nar_base_chart_template,5.1.1.01.020,expense,Discounts obtained,False
l10n_ar.base_compra_mercaderia,l10n_ar.l10nar_base_chart_template,5.1.1.01.030,expense,Purchase of Goods,False
l10n_ar.base_haberes_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.010,expense,Salaries and Production SAC,False
l10n_ar.base_cargas_sociales_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.020,expense,Production Social Charges,False
l10n_ar.base_gastos_varios_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.030,expense,Miscellaneous Production expenses,False
l10n_ar.base_alquileres_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.040,expense,Production rentals,False
l10n_ar.base_servicio_de_luz_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.050,expense,Production Electrical Service,False
l10n_ar.base_servicio_de_agua_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.060,expense,Production Water Service,False
l10n_ar.base_servicio_de_gas_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.070,expense,Production Gas Service,False
l10n_ar.base_impuesto_inmobiliario_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.080,expense,Production Buildings Tax ,False
l10n_ar.base_mantenimiento_y_reparaciones_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.090,expense,Maintenance and Repairs Production,False
l10n_ar.base_higiene_y_seguridad,l10n_ar.l10nar_base_chart_template,5.1.2.01.100,expense,Hygiene and Safety,False
l10n_ar.base_honorarios_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.110,expense,Production fees,False
l10n_ar.base_mantenimiento_y_limpieza,l10n_ar.l10nar_base_chart_template,5.1.2.01.120,expense,Maintenance and cleaning,False
l10n_ar.base_seguros_produccion,l10n_ar.l10nar_base_chart_template,5.1.2.01.130,expense,Production Insurance,False
l10n_ar.base_haberes_comerciales,l10n_ar.l10nar_base_chart_template,5.2.1.01.010,expense,Salaries and Commercial SAC,False
l10n_ar.base_cargas_sociales_comerciales,l10n_ar.l10nar_base_chart_template,5.2.1.01.020,expense,Commercial Social Charges,False
l10n_ar.base_gastos_varios_comerciales,l10n_ar.l10nar_base_chart_template,5.2.1.01.030,expense,Miscellaneous Commercial expenses,False
l10n_ar.base_alquileres_comerciales,l10n_ar.l10nar_base_chart_template,5.2.1.01.040,expense,Commercial rentals,False
l10n_ar.base_movilidad_y_viaticos,l10n_ar.l10nar_base_chart_template,5.2.1.01.050,expense,Mobility and travel expenses,False
l10n_ar.base_publicidad,l10n_ar.l10nar_base_chart_template,5.2.1.01.060,expense,Advertising,False
l10n_ar.base_comisiones,l10n_ar.l10nar_base_chart_template,5.2.1.01.070,expense,Commissions paid,False
l10n_ar.base_servicios_de_luz_ecomercial,l10n_ar.l10nar_base_chart_template,5.2.1.01.080,expense,Commercial Electrical Service,False
l10n_ar.base_servicio_de_agua_comercial,l10n_ar.l10nar_base_chart_template,5.2.1.01.090,expense,Commercial Water Service,False
l10n_ar.base_servicio_de_gas_comercial,l10n_ar.l10nar_base_chart_template,5.2.1.01.100,expense,Commercial Gas Service,False
l10n_ar.base_honorarios_comercial,l10n_ar.l10nar_base_chart_template,5.2.1.01.110,expense,Commercial fees,False
l10n_ar.base_patentes_comercial,l10n_ar.l10nar_base_chart_template,5.2.1.01.120,expense,Commercial patents,False
l10n_ar.base_seguros_comercial,l10n_ar.l10nar_base_chart_template,5.2.1.01.130,expense,Commercial Insurance,False
l10n_ar.base_haberes_administrativos,l10n_ar.l10nar_base_chart_template,5.3.1.01.010,expense,Salaries and Administrative SAC,False
l10n_ar.base_cargas_sociales_administrativos,l10n_ar.l10nar_base_chart_template,5.3.1.01.020,expense,Administrative Social Charges,False
l10n_ar.base_gastos_varios_administrativos,l10n_ar.l10nar_base_chart_template,5.3.1.01.030,expense,Miscellaneous Administrative expenses,False
l10n_ar.base_alquileres_administrativos,l10n_ar.l10nar_base_chart_template,5.3.1.01.040,expense,Administrative rentals,False
l10n_ar.base_servicio_de_luz_administrativos,l10n_ar.l10nar_base_chart_template,5.3.1.01.050,expense,Administrative Electrical Service,False
