id,name,applicability,country_id:id
vat_report_tag51,"ТТ3а: Факторинг, форфайтинг хэлцлийн үйлчилгээний орлого (51)",taxes,base.mn
vat_report_tag53,ТТ3а: Санхүүгийн түрээсийн зүйлийг худалдан авахад төлсөн түрээсийн төлбөр (53),taxes,base.mn
vat_report_tag54,"ТТ3а: Факторинг, форфайтинг хэлцлийг авахад төлсөн төлбөр (54)",taxes,base.mn
vat_report_tag58,"ТТ3а: Борлуулалтын орлогын буцаалт, хөнгөлөлт (58)",accounts,
vat_report_tag59,"ТТ3а: Худалдан авалтын буцаалт, хөнгөлөлт (59)",accounts,
vat_report_tag98,ТТ3a: Наториатын үйлчилгээний орлого (),taxes,base.mn
vat_report_tag99,"ТТ3а: Үндсэн хөрөнгө бэлтгэхэд зориулж импортоор авсан бараа, үйлчилгээнд төлсөн  НӨАТ ()",taxes,base.mn

tax_report_tag2,ТТ02: Татвараас чөлөөлөгдөх орлого (2),accounts,
tax_report_tag4,ТТ02: Бусад орлогын дүн (4),accounts,
tax_report_tag6,ТТ02: Үндсэн ажил үйлчилгээний орлого (6),accounts,
tax_report_tag7,"ТТ02: Таавар, бооцоот тоглоом, хонжворт сугалааны орлого (7)",accounts,
tax_report_tag8,ТТ02: Техникийн зөвлөх үйлчилгээний орлого (8),accounts,
tax_report_tag9,"ТТ02: Үнэ төлбөргүйгээр бусдаас авсан бараа, үйлчилгээ (9)",accounts,
tax_report_tag11,ТТ02: Биет бус хөрөнгө борлуулсны орлого (11),accounts,
tax_report_tag12,"ТТ02: Хувьцаа, үнэт цаас борлуулсны орлого (12)",accounts,
tax_report_tag14,"ТТ02: Гэрээний хүү, торгууль, хохирлын нөхөн төлбөрийн орлого (14)",accounts,
tax_report_tag15,ТТ02: Гадаад валютын ханшийн зөрүүгийн бодит орлого (15),accounts,
tax_report_tag16,ТТ02: Хөдлөх болон үл хөдлөх эд хөрөнгийн түрээсийн орлого (16),accounts,
tax_report_tag17,ТТ02: Албан татвар ногдох бусад орлого (17),accounts,
tax_report_tag22,ТТ02: Татвар ногдох орлогоос хасагдахгүй зардал (22),accounts,
tax_report_tag23,ТТ02: Татвар ногдох орлогыг бууруулах (23),accounts,
tax_report_tag25,ТТ02: Сайн дурын даатгалын хураамжийн хэтрэлт (25),accounts,
tax_report_tag27,ТТ02: Өмнөх жилийн татварын алдагдлаас тайлант хугацаанд шилжүүлсэн дүн (27),accounts,
tax_report_tag30,ТТ02: Татварын хөнгөлөлт (30),accounts,
tax_report_tag32,"ТТ02: Эротик хэвлэл, бичлэг, тоглолт борлуулалтын орлого (32)",accounts,
