"id","name","applicability"
"account_tag_external_code_1361","1361","accounts"
"account_tag_external_code_1400","1400","accounts"
"account_tag_external_code_1401","1401","accounts"
"account_tag_external_code_1500","1500","accounts"
"account_tag_external_code_1501","1501","accounts"
"account_tag_external_code_1600","1600","accounts"
"account_tag_external_code_1601","1601","accounts"
"account_tag_external_code_1700","1700","accounts"
"account_tag_external_code_1800","1800","accounts"
"account_tag_external_code_1801","1801","accounts"
"account_tag_external_code_1803","1803","accounts"
"account_tag_external_code_1910","1910","accounts"
"account_tag_external_code_1920","1920","accounts"
"account_tag_external_code_1930","1930","accounts"
"account_tag_external_code_1940","1940","accounts"
"account_tag_external_code_1950","1950","accounts"
"account_tag_external_code_1960","1960","accounts"
"account_tag_external_code_1970","1970","accounts"
"account_tag_external_code_2000","2000","accounts"
"account_tag_external_code_2080","2080","accounts"
"account_tag_external_code_2090","2090","accounts"
"account_tag_external_code_2100","2100","accounts"
"account_tag_external_code_2130","2130","accounts"
"account_tag_external_code_2140","2140","accounts"
"account_tag_external_code_2150","2150","accounts"
"account_tag_external_code_2180","2180","accounts"
"account_tag_external_code_2190","2190","accounts"
"account_tag_external_code_2200","2200","accounts"
"account_tag_external_code_2201","2201","accounts"
"account_tag_external_code_2230","2230","accounts"
"account_tag_external_code_2240","2240","accounts"
"account_tag_external_code_2250","2250","accounts"
"account_tag_external_code_2251","2251","accounts"
"account_tag_external_code_2280","2280","accounts"
"account_tag_external_code_2290","2290","accounts"
"account_tag_external_code_2291","2291","accounts"
"account_tag_external_code_2292","2292","accounts"
"account_tag_external_code_2293","2293","accounts"
"account_tag_external_code_2294","2294","accounts"
"account_tag_external_code_2295","2295","accounts"
"account_tag_external_code_2300","2300","accounts"
"account_tag_external_code_2310","2310","accounts"
"account_tag_external_code_2320","2320","accounts"
"account_tag_external_code_2330","2330","accounts"
"account_tag_external_code_2340","2340","accounts"
"account_tag_external_code_2350","2350","accounts"
"account_tag_external_code_2470","2470","accounts"
"account_tag_external_code_2480","2480","accounts"
"account_tag_external_code_2490","2490","accounts"
"account_tag_external_code_2500","2500","accounts"
"account_tag_external_code_2501","2501","accounts"
"account_tag_external_code_2502","2502","accounts"
"account_tag_external_code_2504","2504","accounts"
"account_tag_external_code_2505","2505","accounts"
"account_tag_external_code_2506","2506","accounts"
"account_tag_external_code_2507","2507","accounts"
"account_tag_external_code_2509","2509","accounts"
"account_tag_external_code_2510","2510","accounts"
"account_tag_external_code_2511","2511","accounts"
"account_tag_external_code_2512","2512","accounts"
"account_tag_external_code_2513","2513","accounts"
"account_tag_external_code_2515","2515","accounts"
"account_tag_external_code_2517","2517","accounts"
"account_tag_external_code_2518","2518","accounts"
"account_tag_external_code_2519","2519","accounts"
"account_tag_external_code_2520","2520","accounts"
"account_tag_external_code_2530","2530","accounts"
"account_tag_external_code_2531","2531","accounts"
"account_tag_external_code_2532","2532","accounts"
"account_tag_external_code_2533","2533","accounts"
"account_tag_external_code_2534","2534","accounts"
"account_tag_external_code_2535","2535","accounts"
"account_tag_external_code_2536","2536","accounts"
"account_tag_external_code_2537","2537","accounts"
"account_tag_external_code_2538","2538","accounts"
"account_tag_external_code_2540","2540","accounts"
"account_tag_external_code_2541","2541","accounts"
"account_tag_external_code_2542","2542","accounts"
"account_tag_external_code_2543","2543","accounts"
"account_tag_external_code_2560","2560","accounts"
"account_tag_external_code_2565","2565","accounts"
"account_tag_external_code_2570","2570","accounts"
"account_tag_external_code_2573","2573","accounts"
"account_tag_external_code_2575","2575","accounts"
"account_tag_external_code_2577","2577","accounts"
"account_tag_external_code_2580","2580","accounts"
"account_tag_external_code_2582","2582","accounts"
"account_tag_external_code_2584","2584","accounts"
"account_tag_external_code_2586","2586","accounts"
"account_tag_external_code_2590","2590","accounts"
"account_tag_external_code_2600","2600","accounts"
"account_tag_external_code_2601","2601","accounts"
"account_tag_external_code_2602","2602","accounts"
"account_tag_external_code_2610","2610","accounts"
"account_tag_external_code_2612","2612","accounts"
"account_tag_external_code_2620","2620","accounts"
"account_tag_external_code_2630","2630","accounts"
"account_tag_external_code_2680","2680","accounts"
"account_tag_external_code_2690","2690","accounts"
"account_tag_external_code_2700","2700","accounts"
"account_tag_external_code_2730","2730","accounts"
"account_tag_external_code_2740","2740","accounts"
"account_tag_external_code_2750","2750","accounts"
"account_tag_external_code_2780","2780","accounts"
"account_tag_external_code_2790","2790","accounts"
"account_tag_external_code_2800","2800","accounts"
"account_tag_external_code_2880","2880","accounts"
"account_tag_external_code_2885","2885","accounts"
"account_tag_external_code_2890","2890","accounts"
"account_tag_external_code_2900","2900","accounts"
"account_tag_external_code_2940","2940","accounts"
"account_tag_external_code_2950","2950","accounts"
"account_tag_external_code_2960","2960","accounts"
"account_tag_external_code_2970","2970","accounts"
"account_tag_external_code_2980","2980","accounts"
"account_tag_external_code_2990","2990","accounts"
"account_tag_external_code_2999","2999","accounts"
"account_tag_external_code_3000","3000","accounts"
"account_tag_external_code_3010","3010","accounts"
"account_tag_external_code_3020","3020","accounts"
"account_tag_external_code_3030","3030","accounts"
"account_tag_external_code_3035","3035","accounts"
"account_tag_external_code_3040","3040","accounts"
"account_tag_external_code_3041","3041","accounts"
"account_tag_external_code_3042","3042","accounts"
"account_tag_external_code_3043","3043","accounts"
"account_tag_external_code_3044","3044","accounts"
"account_tag_external_code_3050","3050","accounts"
"account_tag_external_code_3051","3051","accounts"
"account_tag_external_code_3052","3052","accounts"
"account_tag_external_code_3060","3060","accounts"
"account_tag_external_code_3061","3061","accounts"
"account_tag_external_code_3070","3070","accounts"
"account_tag_external_code_3071","3071","accounts"
"account_tag_external_code_3080","3080","accounts"
"account_tag_external_code_3085","3085","accounts"
"account_tag_external_code_3090","3090","accounts"
"account_tag_external_code_3100","3100","accounts"
"account_tag_external_code_3105","3105","accounts"
"account_tag_external_code_3110","3110","accounts"
"account_tag_external_code_3180","3180","accounts"
"account_tag_external_code_3200","3200","accounts"
"account_tag_external_code_3201","3201","accounts"
"account_tag_external_code_3202","3202","accounts"
"account_tag_external_code_3203","3203","accounts"
"account_tag_external_code_3204","3204","accounts"
"account_tag_external_code_3205","3205","accounts"
"account_tag_external_code_3210","3210","accounts"
"account_tag_external_code_3300","3300","accounts"
"account_tag_external_code_3360","3360","accounts"
"account_tag_external_code_3370","3370","accounts"
"account_tag_external_code_3380","3380","accounts"
"account_tag_external_code_3390","3390","accounts"
"account_tag_external_code_3400","3400","accounts"
"account_tag_external_code_3401","3401","accounts"
"account_tag_external_code_3440","3440","accounts"
"account_tag_external_code_3441","3441","accounts"
"account_tag_external_code_3450","3450","accounts"
"account_tag_external_code_3455","3455","accounts"
"account_tag_external_code_3460","3460","accounts"
"account_tag_external_code_3470","3470","accounts"
"account_tag_external_code_3480","3480","accounts"
"account_tag_external_code_3481","3481","accounts"
"account_tag_external_code_3485","3485","accounts"
"account_tag_external_code_3486","3486","accounts"
"account_tag_external_code_3490","3490","accounts"
"account_tag_external_code_3491","3491","accounts"
"account_tag_external_code_3492","3492","accounts"
"account_tag_external_code_3493","3493","accounts"
"account_tag_external_code_3495","3495","accounts"
"account_tag_external_code_3500","3500","accounts"
"account_tag_external_code_3501","3501","accounts"
"account_tag_external_code_3502","3502","accounts"
"account_tag_external_code_3503","3503","accounts"
"account_tag_external_code_3504","3504","accounts"
"account_tag_external_code_3505","3505","accounts"
"account_tag_external_code_3506","3506","accounts"
"account_tag_external_code_3507","3507","accounts"
"account_tag_external_code_3509","3509","accounts"
"account_tag_external_code_3510","3510","accounts"
"account_tag_external_code_3511","3511","accounts"
"account_tag_external_code_3516","3516","accounts"
"account_tag_external_code_3517","3517","accounts"
"account_tag_external_code_3520","3520","accounts"
"account_tag_external_code_3530","3530","accounts"
"account_tag_external_code_3540","3540","accounts"
"account_tag_external_code_3541","3541","accounts"
"account_tag_external_code_3542","3542","accounts"
"account_tag_external_code_3550","3550","accounts"
"account_tag_external_code_3551","3551","accounts"
"account_tag_external_code_3554","3554","accounts"
"account_tag_external_code_3556","3556","accounts"
"account_tag_external_code_3560","3560","accounts"
"account_tag_external_code_3590","3590","accounts"
"account_tag_external_code_3600","3600","accounts"
"account_tag_external_code_3610","3610","accounts"
"account_tag_external_code_3620","3620","accounts"
"account_tag_external_code_3630","3630","accounts"
"account_tag_external_code_3640","3640","accounts"
"account_tag_external_code_3650","3650","accounts"
"account_tag_external_code_3700","3700","accounts"
"account_tag_external_code_3750","3750","accounts"
"account_tag_external_code_3760","3760","accounts"
"account_tag_external_code_3800","3800","accounts"
"account_tag_external_code_3900","3900","accounts"
"account_tag_external_code_3990","3990","accounts"
"account_tag_external_code_3999","3999","accounts"
"account_tag_external_code_4000","4000","accounts"
"account_tag_external_code_4010","4010","accounts"
"account_tag_external_code_4012","4012","accounts"
"account_tag_external_code_4014","4014","accounts"
"account_tag_external_code_4016","4016","accounts"
"account_tag_external_code_4019","4019","accounts"
"account_tag_external_code_4030","4030","accounts"
"account_tag_external_code_4031","4031","accounts"
"account_tag_external_code_4050","4050","accounts"
"account_tag_external_code_4052","4052","accounts"
"account_tag_external_code_4054","4054","accounts"
"account_tag_external_code_4060","4060","accounts"
"account_tag_external_code_4062","4062","accounts"
"account_tag_external_code_4064","4064","accounts"
"account_tag_external_code_4066","4066","accounts"
"account_tag_external_code_4068","4068","accounts"
"account_tag_external_code_4069","4069","accounts"
"account_tag_external_code_4070","4070","accounts"
