"code","description","code_type"
"03037980","FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER : CROACKER, GROUPER, HOUNDER","l10n_in_hsn"
"03037991","FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER : EDIBLE FISHMAWS OF WILD LIFE","l10n_in_hsn"
"03037992","FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER : EDIBLE SHARK FINS OF WILD LIFE","l10n_in_hsn"
"03037999","FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304 OTHER : OTHER","l10n_in_hsn"
"03038010","FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304LIVERS AND ROES  EGG OR EGG YOLK OF FISH INCLUDING SHRIMPS","l10n_in_hsn"
"03038090","FISH, FROZEN, EXCLUDING FISH FILLETS ANDOTHER FISH MEAT OF HEADING 0304LIVERS AND ROES  OTHER","l10n_in_hsn"
"03038110","DOGFISH","l10n_in_hsn"
"03038190","OTHER SHARKS","l10n_in_hsn"
"03038910","HILSA","l10n_in_hsn"
"03038920","DARA","l10n_in_hsn"
"03038930","RIBBON FISH","l10n_in_hsn"
"03038940","SEER","l10n_in_hsn"
"03038950","POMFRET (WHITE OR SILVER OR BLACK)","l10n_in_hsn"
"03038960","GHOLE","l10n_in_hsn"
"03038970","THR3ADFIN","l10n_in_hsn"
"03038980","CROACKERS GROUPERS, FLOUNDERS","l10n_in_hsn"
"03038990","Other","l10n_in_hsn"
"03038991","EDIBLE FISHMAWS OF WILD LIFE","l10n_in_hsn"
"03038992","EDIBLE SHARK FINS OF WILD LIFE","l10n_in_hsn"
"03038999","OTHER","l10n_in_hsn"
"03039010","EGG OR EGG YOLK OF FISH","l10n_in_hsn"
"03039090","OTHER","l10n_in_hsn"
"03039110","Egg or Egg yolk of fish","l10n_in_hsn"
"03039190","Other","l10n_in_hsn"
"03039210","Shark fins","l10n_in_hsn"
"03039910","Fish fins other than shark fins; heads, tails and maws","l10n_in_hsn"
"03039990","Other edible fish offal","l10n_in_hsn"
"03042010","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN FROZEN FILLETS  HILSA","l10n_in_hsn"
"03042020","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN FROZEN FILLETS  SHARK","l10n_in_hsn"
"03042030","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN FROZEN FILLETS  SEER","l10n_in_hsn"
"03042040","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN FROZEN FILLETS  TUNA","l10n_in_hsn"
"03042050","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN FROZEN FILLETS  CUTTLEFISH","l10n_in_hsn"
"03042090","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN FROZEN FILLETS  OTHER","l10n_in_hsn"
"03042910","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN- FROZEN FILLETS:-- OTHER: --- HILSA","l10n_in_hsn"
"03042920","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN- FROZEN FILLETS: --OTHER: ---  SHARK","l10n_in_hsn"
"03042930","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN- FROZEN FILLETS: --OTHER:--- SEER","l10n_in_hsn"
"03042940","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN- FROZEN FILLETS: --OTHER --- TUNA","l10n_in_hsn"
"03042950","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN - FROZEN FILLETS: --OTHER: --- CUTTLEFISH","l10n_in_hsn"
"03042990","FISH FILLETS AND OTHER FISH MEAT(WHETHER OR NOT MINCED), FRESH,CHILLED OR FROZEN- FROZEN FILLETS: --OTHER: --- OTHER","l10n_in_hsn"
"03044910","HILSA","l10n_in_hsn"
"03044920","SHARK","l10n_in_hsn"
"03044930","SEER","l10n_in_hsn"
"03044940","TUNA","l10n_in_hsn"
"03044990","OTHER","l10n_in_hsn"
"03045910","HILSA","l10n_in_hsn"
"03045920","SHARK","l10n_in_hsn"
"03045930","SEER","l10n_in_hsn"
"03045940","TUNA","l10n_in_hsn"
"03045990","OTHER","l10n_in_hsn"
"03048810","Dogfish","l10n_in_hsn"
"03048820","Other Sharks","l10n_in_hsn"
"03048830","Rays and skates (Rajidae)","l10n_in_hsn"
"03048910","HILSA","l10n_in_hsn"
"03048920","SHARK","l10n_in_hsn"
"03048930","SEER","l10n_in_hsn"
"03048940","Tuna","l10n_in_hsn"
"03048990","OTHER","l10n_in_hsn"
"03055910","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS--OTHER--MUMBAI DUCK","l10n_in_hsn"
"03055920","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS-OTHER --SEER WITHOUT HEAD","l10n_in_hsn"
"03055930","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS-OTHER --SPRATS","l10n_in_hsn"
"03055990","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS-OTHER --OTHER","l10n_in_hsn"
"03056910","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS- OTHER--MUMBAI DUCK","l10n_in_hsn"
"03056920","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS- OTHER--SEER WITHOUT HEAD","l10n_in_hsn"
"03056930","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS- OTHER--SPRATS","l10n_in_hsn"
"03056990","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS- OTHER--OTHER","l10n_in_hsn"
"03061210","CRUSTACEANS, WHETHER IN SHELL OR NOT,LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTEDOR IN BRINE; CRUSTACEANS, IN SHELL, COOKEDBY STEAMING OR BY BOILING IN WATER,WHETHER OR NOT CHILLED, FROZEN, DRIED,SALTED OR IN BRINE; FLOURS, MEALS ANDPELLETS, OF CRUSTACEAN...","l10n_in_hsn"
"03061290","CRUSTACEANS, WHETHER IN SHELL OR NOT,LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTEDOR IN BRINE; CRUSTACEANS, IN SHELL, COOKEDBY STEAMING OR BY BOILING IN WATER,WHETHER OR NOT CHILLED, FROZEN, DRIED,SALTED OR IN BRINE; FLOURS, MEALS ANDPELLETS, OF CRUSTACEAN...","l10n_in_hsn"
"03061610","ACCELERATED FREEZE DRIED(AFD)","l10n_in_hsn"
"03061690","OTHER","l10n_in_hsn"
"03061711","ACCELERATED FREEZE DRIED(AFD)","l10n_in_hsn"
"03061719","OTHER","l10n_in_hsn"
"03061720","Vannamei Shrimp (LITOPENAEUS VANNAMEI)","l10n_in_hsn"
"03061730","Indian White Shrimp (FENNEROPENAEUS INDICUS)","l10n_in_hsn"
"03061740","Black tiger shrimp (Penaeusmonodon)","l10n_in_hsn"
"03061750","Flower Shrimp (Penaeus semisulcalus)","l10n_in_hsn"
"03061790","OTHER","l10n_in_hsn"
"03062710","POWDERED","l10n_in_hsn"
"03062790","OTHER","l10n_in_hsn"
"03063610","FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES~Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking ...","l10n_in_hsn"
"03063620","Vannamei shrimp (Litopenaeus vannamei)","l10n_in_hsn"
"03063630","Indian white shrimp (Fenneropenaeus indicus)","l10n_in_hsn"
"03063640","Black tiger shrimp (Penaeus monodon)","l10n_in_hsn"
"03063650","Flower Shrimp(Penaeus semisulcatus)","l10n_in_hsn"
"03063660","Artemia","l10n_in_hsn"
"03063690","Other","l10n_in_hsn"
