id,code_prefix_start,code_prefix_end,name,chart_template_id/id
"l10n_si_group_77","77",,"Finančni prihodki","l10n_si.l10n_si_chart_template"
"l10n_si_group_78","78",,"Drugi prihodki","l10n_si.l10n_si_chart_template"
"l10n_si_group_79","79",,"Usredstveni lastni proizvodi in lastne storitve","l10n_si.l10n_si_chart_template"
"l10n_si_group_8","8",,"POSLOVNI IZID","l10n_si.l10n_si_chart_template"
"l10n_si_group_80","80",,"Poslovni izid pred obdavčitvijo","l10n_si.l10n_si_chart_template"
"l10n_si_group_81","81",,"Razporeditev dobička oziroma in celotnega presežka prihodkov","l10n_si.l10n_si_chart_template"
"l10n_si_group_82","82",,"Razporeditev čistega dobička poslovnega leta oziroma čistega presežka prihodkov","l10n_si.l10n_si_chart_template"
"l10n_si_group_89","89",,"Čista izguba oziroma čisti presežek odhodkov in prenos čiste izgube oziroma čistega presežka odhodkov","l10n_si.l10n_si_chart_template"
"l10n_si_group_9","9",,"KAPITAL, DOLGOROČNE OBVEZNOSTI (DOLGOVI) IN DOLGOROČNE REZERVACIJE","l10n_si.l10n_si_chart_template"
"l10n_si_group_90","90",,"Vpoklicani in začetni kapital ter ustanovitvene vloge","l10n_si.l10n_si_chart_template"
"l10n_si_group_91","91",,"Kapitalske rezerve in prenosi sredstev","l10n_si.l10n_si_chart_template"
"l10n_si_group_92","92",,"Rezerve iz dobička oziroma razporejeni čisti presežek prihodkov","l10n_si.l10n_si_chart_template"
"l10n_si_group_93","93",,"Čisti dobiček ali čista izguba oziroma nerazporejeni čisti presežek prihodkov ali čisti presežek odhodkov","l10n_si.l10n_si_chart_template"
"l10n_si_group_94","94",,"Revalorizacijske rezerve","l10n_si.l10n_si_chart_template"
"l10n_si_group_95","95",,"Rezerve, nastale zaradi vrednotenja po pošteni vrednosti","l10n_si.l10n_si_chart_template"
"l10n_si_group_96","96",,"Rezervacije in dolgoročne pasivne časovne razmejitve","l10n_si.l10n_si_chart_template"
"l10n_si_group_97","97",,"Dolgoročne finančne obveznosti","l10n_si.l10n_si_chart_template"
"l10n_si_group_98","98",,"Dolgoročne poslovne obveznosti","l10n_si.l10n_si_chart_template"
"l10n_si_group_99","99",,"Zunajbilančni konti","l10n_si.l10n_si_chart_template"
