"id","code","name","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_si_061","061","Dolgoročne finančne naložbe v delnice in deleže družb v skupini, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_062","062","Dolgoročne finančne naložbe v delnice in deleže družb v skupini, razporejene in izmerjene po pošteni vrednosti prek kapitala","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_063","063","Dolgoročne finančne naložbe v delnice in deleže pridruženih organizacij in skupaj obvladovanih organizacij, razporejene in izmerjene po nabavni vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_064","064","Dolgoročne finančne naložbe v delnice in deleže pridruženih družb in skupaj obvladovanih družb, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_065","065","Dolgoročne finančne naložbe v delnice in deleže pridruženih družb in skupaj obvladovanih družb, razporejene in izmerjene po pošteni vrednosti prek kapitala","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_066","066","Druge dolgoročne finančne naložbe, razporejene in izmerjene po nabavni vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_067","067","Druge dolgoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek poslovnega izida","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_068","068","Druge dolgoročne finančne naložbe, razporejene in izmerjene po pošteni vrednosti prek kapitala oziroma lastnega vira sredstev","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_069","069","Oslabitev vrednosti dolgoročnih finančnih naložb","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_070","070","Dolgoročna posojila, dana na podlagi posojilnih pogodb organizacijam v skupini, vključno z dolgoročnimi terjatvami iz finančnega najema","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_071","071","Dolgoročna posojila, dana na podlagi posojilnih pogodb pridruženim organizacijam in skupaj obvladovanim organizacijam, vključno z dolgoročnimi terjatvami iz finančnega najema","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_072","072","Dolgoročna posojila, dana drugim, vključno z dolgoročnimi terjatvami iz finančnega najema","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_073","073","Dolgoročna posojila, dana z odkupom obveznic od organizacij v skupini","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_074","074","Dolgoročna posojila, dana z odkupom obveznic od pridruženih organizacij in skupaj obvladovanih organizacij","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_075","075","Dolgoročna posojila, dana z odkupom obveznic od drugih","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_076","076","Dolgoročne terjatve za nevplačani vpoklicani kapital","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_077","077","Druga dolgoročno vložena sredstva","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_078","078","Dani dolgoročni depoziti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_079","079","Oslabitev vrednosti danih dolgoročnih posojil","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_080","080","Dolgoročni blagovni krediti, dani v državi","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_081","081","Dolgoročni blagovni krediti, dani v tujini","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_082","082","Dani dolgoročni potrošniški krediti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_083","083","Dani dolgoročni predujmi","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_084","084","Dane dolgoročne varščine","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_085","085","Dolgoročne terjatve iz finančnega najema","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_086","086","Druge dolgoročne poslovne terjatve","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_087","087","Dolgoročne poslovne terjatve do družb v skupini","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_089","089","Oslabitev vrednosti dolgoročnih poslovnih terjatev","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_090","090","Odložene terjatve za davek iz odbitnih začasnih razlik","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_091","091","Odložene terjatve za davek iz neizrabljenih davčnih izgub, prenesenih v naslednja davčna obdobja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_092","092","Odložene terjatve za davek iz davčnih dobropisov, prenesenih v naslednja davčna obdobja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_100","100","Denarna sredstva v blagajni, razen deviznih","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_101","101","Devizna sredstva v blagajni","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_102","102","Izdani čeki (odbitna postavka)","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_103","103","Prejeti čeki","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_104","104","Netvegani takoj udenarljivi dolžniški vrednostni papirji","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_109","109","Denar na poti","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_110","110","Denarna sredstva na računih, razen deviznih","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_111","111","Kratkoročni depoziti oziroma depoziti na odpoklic, razen deviznih","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_112","112","Devizna sredstva na računih","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_113","113","Kratkoročni devizni depoziti oziroma devizni depoziti na odpoklic","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_114","114","Denarna sredstva na posebnih računih oziroma za posebne namene","account.data_account_type_liquidity","l10n_si.l10n_si_chart_template","","False"
"l10n_si_120","120","Kratkoročne terjatve do kupcev v državi","account.data_account_type_receivable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_121","121","Kratkoročne terjatve do kupcev v tujini","account.data_account_type_receivable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_122","122","Kratkoročni blagovni krediti, dani kupcem v državi","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_123","123","Kratkoročni blagovni krediti, dani kupcem v tujini","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_124","124","Kratkoročni potrošniški krediti, dani kupcem v državi","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_125","125","Kratkoročne terjatve do članov","account.data_account_type_receivable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_126","126","Kratkoročne terjatve za nezaračunano blago in storitve","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_127","127","Kratkoročne poslovne terjatve do družb v skupini","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_129","129","Oslabitev vrednosti kratkoročnih terjatev do kupcev","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_130","130","Kratkoročni predujmi, dani za opredmetena osnovna sredstva","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_131","131","Kratkoročni predujmi, dani za neopredmetena sredstva","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_132","132","Kratkoročni predujmi, dani za zaloge materiala in blaga ter še ne opravljene storitve","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_133","133","Drugi dani kratkoročni predujmi in preplačila","account.data_account_type_receivable","l10n_si.l10n_si_chart_template","","True"
"l10n_si_134","134","Dane kratkoročne varščine","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_139","139","Oslabitev vrednosti danih kratkoročnih predujmov, preplačil in varščin","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_140","140","Kratkoročne terjatve do izvoznikov","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_141","141","Kratkoročne terjatve iz uvoza za tuj račun","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_142","142","Kratkoročne terjatve iz komisijske in konsignacijske prodaje","account.data_account_type_current_assets","l10n_si.l10n_si_chart_template","","False"
