"id","position_id/id","account_src_id/id","account_dest_id/id"
"si_fp_eu_receivables","si_fp_eu","l10n_si_120","l10n_si_121"
"si_fp_eu_liabilities","si_fp_eu","l10n_si_220","l10n_si_221"
"si_fp_eu_goods_and_services","si_fp_eu","l10n_si_760","l10n_si_761"
"si_fp_eu_merchandise_and_materials","si_fp_eu","l10n_si_762","l10n_si_763"
"si_fp_ne_receivables","si_fp_ne","l10n_si_120","l10n_si_121"
"si_fp_ne_liabilities","si_fp_ne","l10n_si_220","l10n_si_221"
"si_fp_ne_goods_and_services","si_fp_ne","l10n_si_760","l10n_si_761"
"si_fp_ne_merchandise_and_materials","si_fp_ne","l10n_si_762","l10n_si_763"
